token,label,sentence
PART,O,0
ONE,O,0
Chapter,O,0
I,O,0
:,O,0
The,O,0
Bertolini,O,0
“,O,0
The,O,0
Signora,O,0
had,O,0
no,O,0
business,O,0
to,O,0
do,O,0
it,O,0
",",O,0
”,O,0
said,EVENT,0
Miss,O,0
Bartlett,O,0
",",O,0
“,O,0
no,O,0
business,O,0
at,O,0
all,O,0
.,O,0
She,O,1
promised,EVENT,1
us,O,1
south,O,1
rooms,O,1
with,O,1
a,O,1
view,O,1
close,O,1
together,O,1
",",O,1
instead,O,1
of,O,1
which,O,1
here,O,1
are,O,1
north,O,1
rooms,O,1
",",O,1
looking,O,1
into,O,1
a,O,1
courtyard,O,1
",",O,1
and,O,1
a,O,1
long,O,1
way,O,1
apart,O,1
.,O,1
Oh,O,2
",",O,2
Lucy,O,2
!,O,2
”,O,2
“,O,2
And,O,2
a,O,2
Cockney,O,2
",",O,2
besides,O,2
!,O,2
”,O,2
said,EVENT,2
Lucy,O,2
",",O,2
who,O,2
had,O,2
been,O,2
further,O,2
saddened,EVENT,2
by,O,2
the,O,2
Signora,O,2
’s,O,2
unexpected,O,2
accent,O,2
.,O,2
“,O,3
It,O,3
might,O,3
be,O,3
London,O,3
.,O,3
”,O,4
She,O,4
looked,EVENT,4
at,O,4
the,O,4
two,O,4
rows,O,4
of,O,4
English,O,4
people,O,4
who,O,4
were,O,4
sitting,O,4
at,O,4
the,O,4
table,O,4
;,O,4
at,O,4
the,O,4
row,O,4
of,O,4
white,O,4
bottles,O,4
of,O,4
water,O,4
and,O,4
red,O,4
bottles,O,4
of,O,4
wine,O,4
that,O,4
ran,O,4
between,O,4
the,O,4
English,O,4
people,O,4
;,O,4
at,O,4
the,O,4
portraits,O,4
of,O,4
the,O,4
late,O,4
Queen,O,4
and,O,4
the,O,4
late,O,4
Poet,O,4
Laureate,O,4
that,O,4
hung,O,4
behind,O,4
the,O,4
English,O,4
people,O,4
",",O,4
heavily,O,4
framed,O,4
;,O,4
