token,label,sentence
CHAPTER,O,0
I.,O,0
Down,O,0
the,O,0
Rabbit-Hole,O,0
Alice,O,0
was,O,0
beginning,O,0
to,O,0
get,O,0
very,O,0
tired,EVENT,0
of,O,0
sitting,O,0
by,O,0
her,O,0
sister,O,0
on,O,0
the,O,0
bank,O,0
",",O,0
and,O,0
of,O,0
having,O,0
nothing,O,0
to,O,0
do,O,0
:,O,0
once,O,0
or,O,0
twice,O,0
she,O,0
had,O,0
peeped,EVENT,0
into,O,0
the,O,0
book,O,0
her,O,0
sister,O,0
was,O,0
reading,EVENT,0
",",O,0
but,O,0
it,O,0
had,O,0
no,O,0
pictures,O,0
or,O,0
conversations,O,0
in,O,0
it,O,0
",",O,0
‘,O,0
and,O,0
what,O,0
is,O,0
the,O,0
use,O,0
of,O,0
a,O,0
book,O,0
",",O,0
’,O,0
thought,EVENT,0
Alice,O,0
‘,O,0
without,O,0
pictures,O,0
or,O,0
conversations,O,0
?,O,0
’,O,0
So,O,0
she,O,0
was,O,0
considering,EVENT,0
in,O,0
her,O,0
own,O,0
mind,O,0
(,O,0
as,O,0
well,O,0
as,O,0
she,O,0
could,O,0
",",O,0
for,O,0
the,O,0
hot,O,0
day,O,0
made,O,0
her,O,0
feel,O,0
very,O,0
sleepy,O,0
and,O,0
stupid,O,0
),O,0
",",O,0
whether,O,0
the,O,0
pleasure,O,0
of,O,0
making,O,0
a,O,0
daisy-chain,O,0
would,O,0
be,O,0
worth,O,0
the,O,0
trouble,O,0
of,O,0
getting,O,0
up,O,0
and,O,0
picking,O,0
the,O,0
daisies,O,0
",",O,0
when,O,0
suddenly,O,0
a,O,0
White,O,0
Rabbit,O,0
with,O,0
pink,O,0
eyes,O,0
ran,EVENT,0
close,O,0
by,O,0
her,O,0
.,O,0
There,O,1
was,O,1
nothing,O,1
so,O,1
VERY,O,1
remarkable,O,1
in,O,1
that,O,1
;,O,1
nor,O,1
did,O,1
Alice,O,1
think,O,1
it,O,1
so,O,1
VERY,O,1
much,O,1
out,O,1
of,O,1
the,O,1
way,O,1
to,O,1
hear,EVENT,1
the,O,1
Rabbit,O,1
say,EVENT,1
to,O,1
itself,O,1
",",O,1
‘,O,1
Oh,O,1
dear,O,1
!,O,1
Oh,O,1
dear,O,1
!,O,1
I,O,1
shall,O,1
be,O,1
late,O,1
!,O,1
’,O,1
(,O,1
when,O,1
she,O,1
thought,EVENT,1
it,O,1
over,O,1
afterwards,O,1
",",O,1
it,O,1
occurred,EVENT,1
to,O,1
her,O,1
that,O,1
she,O,1
ought,O,1
to,O,1
have,O,1
wondered,O,1
at,O,1
this,O,1
",",O,1
but,O,1
at,O,1
the,O,1
time,O,1
it,O,1
all,O,1
seemed,O,1
quite,O,1
natural,O,1
),O,1
;,O,1
but,O,1
when,O,1
the,O,1
Rabbit,O,1
actually,O,1
TOOK,EVENT,1
A,O,1
WATCH,O,1
OUT,O,1
OF,O,1
ITS,O,1
WAISTCOAT-POCKET,O,1
",",O,1
and,O,1
looked,EVENT,1
at,O,1
it,O,1
",",O,1
and,O,1
then,O,1
hurried,EVENT,1
on,O,1
",",O,1
Alice,O,1
started,EVENT,1
to,O,1
her,O,1
feet,O,1
",",O,1
for,O,1
it,O,1
flashed,EVENT,1
across,O,1
her,O,1
mind,O,1
that,O,1
she,O,1
had,O,1
never,O,1
before,O,1
seen,O,1
a,O,1
rabbit,O,1
with,O,1
either,O,1
a,O,1
waistcoat-pocket,O,1
",",O,1
or,O,1
a,O,1
watch,O,1
to,O,1
take,O,1
out,O,1
of,O,1
it,O,1
",",O,1
and,O,1
burning,O,1
with,O,1
curiosity,O,1
",",O,1
she,O,1
ran,EVENT,1
across,O,1
the,O,1
field,O,1
after,O,1
it,O,1
",",O,1
and,O,1
fortunately,O,1
was,O,1
just,O,1
in,O,1
time,O,1
to,O,1
see,EVENT,1
it,O,1
pop,EVENT,1
down,O,1
a,O,1
large,O,1
rabbit-hole,O,1
