token,label,sentence
CHAPTER,O,0
ONE,O,0
PLAYING,O,0
PILGRIMS,O,0
grumbled,EVENT,0
Jo,O,0
",",O,0
lying,O,0
on,O,0
the,O,0
rug,O,0
.,O,0
sighed,EVENT,1
Meg,O,1
",",O,1
looking,EVENT,1
down,O,1
at,O,1
her,O,1
old,O,1
dress,O,1
.,O,1
added,EVENT,2
little,O,2
Amy,O,2
",",O,2
with,O,2
an,O,2
injured,O,2
sniff,EVENT,2
.,O,2
said,EVENT,3
Beth,O,3
contentedly,O,3
from,O,3
her,O,3
corner,O,3
.,O,3
The,O,4
four,O,4
young,O,4
faces,O,4
on,O,4
which,O,4
the,O,4
firelight,O,4
shone,EVENT,4
brightened,EVENT,4
at,O,4
the,O,4
cheerful,O,4
words,EVENT,4
",",O,4
but,O,4
darkened,EVENT,4
again,O,4
as,O,4
Jo,O,4
said,EVENT,4
sadly,O,4
",",O,4
She,O,4
did,O,4
n't,O,4
say,O,4
but,O,4
each,O,4
silently,O,4
added,EVENT,4
it,O,4
",",O,4
thinking,EVENT,4
of,O,4
Father,O,4
far,O,4
away,O,4
",",O,4
where,O,4
the,O,4
fighting,O,4
was,O,4
.,O,4
Nobody,O,5
spoke,O,5
for,O,5
a,O,5
minute,O,5
;,O,5
then,O,5
Meg,O,5
said,EVENT,5
in,O,5
an,O,5
altered,O,5
tone,O,5
",",O,5
and,O,5
Meg,O,5
shook,EVENT,5
her,O,5
head,O,5
",",O,5
as,O,5
she,O,5
thought,EVENT,5
regretfully,O,5
of,O,5
all,O,5
the,O,5
pretty,O,5
things,O,5
she,O,5
wanted,O,5
.,O,5
said,EVENT,6
Jo,O,6
",",O,6
who,O,6
was,O,6
a,O,6
bookworm,O,6
.,O,6
said,EVENT,7
Beth,O,7
",",O,7
with,O,7
a,O,7
little,O,7
sigh,O,7
",",O,7
which,O,7
no,O,7
one,O,7
heard,O,7
but,O,7
the,O,7
hearth,O,7
brush,O,7
and,O,7
kettle-holder,O,7
.,O,7
said,EVENT,8
Amy,O,8
decidedly,O,8
.,O,8
cried,EVENT,9
Jo,O,9
",",O,9
examining,EVENT,9
the,O,9
heels,O,9
of,O,9
her,O,9
shoes,O,9
in,O,9
a,O,9
gentlemanly,O,9
manner,O,9
.,O,9
began,EVENT,10
Meg,O,10
",",O,10
in,O,10
the,O,10
complaining,EVENT,10
tone,O,10
again,O,10
.,O,10
said,EVENT,11
Jo,O,11
.,O,11
And,O,12
Beth,O,12
looked,EVENT,12
at,O,12
her,O,12
rough,O,12
hands,O,12
with,O,12
a,O,12
sigh,EVENT,12
that,O,12
any,O,12
one,O,12
could,O,12
hear,O,12
that,O,12
time,O,12
.,O,12
cried,EVENT,13
Amy,O,13
",",O,13
advised,EVENT,13
Jo,O,13
",",O,13
laughing,EVENT,13
.,O,13
returned,EVENT,14
Amy,O,14
",",O,14
with,O,14
dignity,O,14
.,O,14
said,EVENT,15
Meg,O,15
",",O,15
who,O,15
could,O,15
remember,O,15
better,O,15
times,O,15
.,O,15
observed,EVENT,16
Amy,O,16
",",O,16
with,O,16
a,O,16
reproving,O,16
look,EVENT,16
at,O,16
the,O,16
long,O,16
figure,O,16
stretched,O,16
on,O,16
the,O,16
rug,O,16
.,O,16
Jo,O,17
immediately,O,17
sat,EVENT,17
up,O,17
",",O,17
put,EVENT,17
her,O,17
hands,O,17
in,O,17
her,O,17
pockets,O,17
",",O,17
and,O,17
began,O,17
to,O,17
whistle,EVENT,17
.,O,17
sang,EVENT,18
Beth,O,18
",",O,18
the,O,18
peacemaker,O,18
",",O,18
with,O,18
such,O,18
a,O,18
funny,O,18
face,O,18
that,O,18
both,O,18
sharp,O,18
voices,O,18
softened,EVENT,18
to,O,18
a,O,18
laugh,EVENT,18
",",O,18
and,O,18
the,O,18
ended,EVENT,18
for,O,18
that,O,18
time,O,18
.,O,18
said,EVENT,19
Meg,O,19
",",O,19
beginning,O,19
to,O,19
lecture,EVENT,19
in,O,19
her,O,19
elder-sisterly,O,19
fashion,O,19
.,O,19
cried,EVENT,20
Jo,O,20
",",O,20
pulling,EVENT,20
off,O,20
her,O,20
net,O,20
",",O,20
and,O,20
shaking,EVENT,20
down,O,20
a,O,20
chestnut,O,20
mane,O,20
.,O,20
And,O,21
Jo,O,21
shook,EVENT,21
the,O,21
blue,O,21
army,O,21
sock,O,21
till,O,21
the,O,21
needles,O,21
rattled,EVENT,21
like,O,21
castanets,O,21
",",O,21
and,O,21
her,O,21
ball,O,21
bounded,EVENT,21
across,O,21
the,O,21
room,O,21
.,O,21
said,EVENT,22
Beth,O,22
",",O,22
stroking,EVENT,22
the,O,22
rough,O,22
head,O,22
with,O,22
a,O,22
hand,O,22
that,O,22
all,O,22
the,O,22
dish,O,22
washing,O,22
and,O,22
dusting,O,22
in,O,22
the,O,22
world,O,22
could,O,22
not,O,22
make,O,22
ungentle,O,22
in,O,22
its,O,22
touch,O,22
.,O,22
continued,EVENT,23
Meg,O,23
",",O,23
asked,EVENT,23
Beth,O,23
",",O,23
ready,O,23
to,O,23
share,O,23
the,O,23
lecture,EVENT,23
.,O,23
answered,EVENT,24
Meg,O,24
warmly,O,24
",",O,24
and,O,24
no,O,24
one,O,24
contradicted,O,24
her,O,24
",",O,24
for,O,24
the,O,24
',O,24
Mouse,O,24
',O,24
was,O,24
the,O,24
pet,O,24
of,O,24
the,O,24
family,O,24
.,O,24
As,O,25
young,O,25
readers,O,25
like,O,25
to,O,25
know,O,25
',O,25
how,O,25
people,O,25
look,O,25
',O,25
",",O,25
we,O,25
will,O,25
take,EVENT,25
this,O,25
moment,O,25
to,O,25
give,EVENT,25
them,O,25
a,O,25
little,O,25
sketch,O,25
of,O,25
the,O,25
four,O,25
sisters,O,25
",",O,25
who,O,25
sat,O,25
knitting,EVENT,25
away,O,25
in,O,25
the,O,25
twilight,O,25
",",O,25
while,O,25
the,O,25
December,O,25
snow,EVENT,25
fell,O,25
quietly,O,25
without,O,25
",",O,25
and,O,25
the,O,25
fire,EVENT,25
crackled,EVENT,25
cheerfully,O,25
within,O,25
.,O,25
It,O,26
was,O,26
a,O,26
comfortable,O,26
room,O,26
",",O,26
though,O,26
the,O,26
carpet,O,26
was,O,26
faded,O,26
and,O,26
the,O,26
furniture,O,26
very,O,26
plain,O,26
",",O,26
for,O,26
a,O,26
good,O,26
picture,O,26
or,O,26
two,O,26
hung,O,26
on,O,26
the,O,26
walls,O,26
",",O,26
books,O,26
filled,O,26
the,O,26
recesses,O,26
",",O,26
chrysanthemums,O,26
and,O,26
Christmas,O,26
roses,O,26
bloomed,O,26
in,O,26
the,O,26
windows,O,26
",",O,26
and,O,26
a,O,26
pleasant,O,26
atmosphere,O,26
of,O,26
home,O,26
peace,O,26
pervaded,O,26
it,O,26
.,O,26
Margaret,O,27
",",O,27
the,O,27
eldest,O,27
of,O,27
the,O,27
four,O,27
",",O,27
was,O,27
sixteen,O,27
",",O,27
and,O,27
very,O,27
pretty,O,27
",",O,27
being,O,27
plump,O,27
and,O,27
fair,O,27
",",O,27
with,O,27
large,O,27
eyes,O,27
",",O,27
plenty,O,27
of,O,27
soft,O,27
brown,O,27
hair,O,27
",",O,27
a,O,27
sweet,O,27
mouth,O,27
",",O,27
and,O,27
white,O,27
hands,O,27
",",O,27
of,O,27
which,O,27
she,O,27
was,O,27
rather,O,27
vain,O,27
.,O,27
Fifteen-year-old,O,28
Jo,O,28
was,O,28
very,O,28
tall,O,28
",",O,28
thin,O,28
",",O,28
and,O,28
brown,O,28
",",O,28
and,O,28
reminded,O,28
one,O,28
of,O,28
a,O,28
colt,O,28
",",O,28
for,O,28
she,O,28
never,O,28
seemed,O,28
to,O,28
know,O,28
what,O,28
to,O,28
do,O,28
with,O,28
her,O,28
long,O,28
limbs,O,28
",",O,28
