token,label,sentence
Part,O,0
I,O,0
01,O,0
My,O,0
Early,O,0
Home,O,0
The,O,0
first,O,0
place,O,0
that,O,0
I,O,0
can,O,0
well,O,0
remember,EVENT,0
was,O,0
a,O,0
large,O,0
pleasant,O,0
meadow,O,0
with,O,0
a,O,0
pond,O,0
of,O,0
clear,O,0
water,O,0
in,O,0
it,O,0
.,O,0
Some,O,1
shady,O,1
trees,O,1
leaned,O,1
over,O,1
it,O,1
",",O,1
and,O,1
rushes,O,1
and,O,1
water-lilies,O,1
grew,O,1
at,O,1
the,O,1
deep,O,1
end,O,1
.,O,1
Over,O,2
the,O,2
hedge,O,2
on,O,2
one,O,2
side,O,2
we,O,2
looked,O,2
into,O,2
a,O,2
plowed,O,2
field,O,2
",",O,2
and,O,2
on,O,2
the,O,2
other,O,2
we,O,2
looked,O,2
over,O,2
a,O,2
gate,O,2
at,O,2
our,O,2
master,O,2
’s,O,2
house,O,2
",",O,2
which,O,2
stood,O,2
by,O,2
the,O,2
roadside,O,2
;,O,2
at,O,2
the,O,2
top,O,2
of,O,2
the,O,2
meadow,O,2
was,O,2
a,O,2
grove,O,2
of,O,2
fir,O,2
trees,O,2
",",O,2
and,O,2
at,O,2
the,O,2
bottom,O,2
a,O,2
running,O,2
brook,O,2
overhung,O,2
by,O,2
a,O,2
steep,O,2
bank,O,2
.,O,2
While,O,3
I,O,3
was,O,3
young,O,3
I,O,3
lived,O,3
upon,O,3
my,O,3
mother,O,3
’s,O,3
milk,O,3
",",O,3
as,O,3
I,O,3
could,O,3
not,O,3
eat,O,3
grass,O,3
.,O,3
In,O,4
the,O,4
daytime,O,4
I,O,4
ran,O,4
by,O,4
her,O,4
side,O,4
",",O,4
and,O,4
at,O,4
night,O,4
I,O,4
lay,O,4
down,O,4
close,O,4
by,O,4
her,O,4
.,O,4
When,O,5
it,O,5
was,O,5
hot,O,5
we,O,5
used,O,5
to,O,5
stand,O,5
by,O,5
the,O,5
pond,O,5
in,O,5
the,O,5
shade,O,5
of,O,5
the,O,5
trees,O,5
",",O,5
and,O,5
when,O,5
it,O,5
was,O,5
cold,O,5
we,O,5
had,O,5
a,O,5
nice,O,5
warm,O,5
shed,O,5
near,O,5
the,O,5
grove,O,5
.,O,5
As,O,6
soon,O,6
as,O,6
I,O,6
was,O,6
old,O,6
enough,O,6
to,O,6
eat,O,6
grass,O,6
my,O,6
mother,O,6
used,O,6
to,O,6
go,O,6
out,O,6
to,O,6
work,O,6
in,O,6
the,O,6
daytime,O,6
",",O,6
and,O,6
come,O,6
back,O,6
in,O,6
the,O,6
evening,O,6
.,O,6
There,O,7
were,O,7
six,O,7
young,O,7
colts,O,7
in,O,7
the,O,7
meadow,O,7
besides,O,7
me,O,7
;,O,7
they,O,7
were,O,7
older,O,7
than,O,7
I,O,7
was,O,7
;,O,7
some,O,7
were,O,7
nearly,O,7
as,O,7
large,O,7
as,O,7
grown-up,O,7
horses,O,7
.,O,7
I,O,8
used,O,8
to,O,8
run,O,8
with,O,8
them,O,8
",",O,8
and,O,8
had,O,8
great,O,8
fun,O,8
;,O,8
we,O,8
used,O,8
to,O,8
gallop,O,8
all,O,8
together,O,8
round,O,8
and,O,8
round,O,8
the,O,8
field,O,8
as,O,8
hard,O,8
as,O,8
we,O,8
could,O,8
go,O,8
.,O,8
Sometimes,O,9
we,O,9
had,O,9
rather,O,9
rough,O,9
play,O,9
",",O,9
for,O,9
they,O,9
would,O,9
frequently,O,9
bite,O,9
and,O,9
kick,O,9
as,O,9
well,O,9
as,O,9
gallop,O,9
.,O,9
One,O,10
day,O,10
",",O,10
when,O,10
there,O,10
was,O,10
a,O,10
good,O,10
deal,O,10
of,O,10
kicking,EVENT,10
",",O,10
my,O,10
mother,O,10
whinnied,EVENT,10
to,O,10
me,O,10
to,O,10
come,O,10
to,O,10
her,O,10
",",O,10
and,O,10
then,O,10
she,O,10
said,EVENT,10
:,O,10
“,O,10
I,O,10
wish,O,10
you,O,10
to,O,10
pay,O,10
attention,O,10
to,O,10
what,O,10
I,O,10
am,O,10
going,O,10
to,O,10
say,O,10
to,O,10
you,O,10
.,O,10
The,O,11
colts,O,11
who,O,11
live,O,11
here,O,11
are,O,11
very,O,11
good,O,11
colts,O,11
",",O,11
but,O,11
they,O,11
are,O,11
cart-horse,O,11
colts,O,11
",",O,11
and,O,11
of,O,11
course,O,11
they,O,11
have,O,11
not,O,11
learned,O,11
manners,O,11
.,O,11
You,O,12
have,O,12
been,O,12
well-bred,O,12
and,O,12
well-born,O,12
;,O,12
your,O,12
father,O,12
has,O,12
a,O,12
great,O,12
name,O,12
in,O,12
these,O,12
parts,O,12
",",O,12
and,O,12
your,O,12
grandfather,O,12
won,EVENT,12
the,O,12
cup,O,12
two,O,12
years,O,12
at,O,12
the,O,12
Newmarket,O,12
races,O,12
;,O,12
your,O,12
grandmother,O,12
had,O,12
the,O,12
sweetest,O,12
temper,O,12
of,O,12
any,O,12
horse,O,12
I,O,12
ever,O,12
knew,O,12
",",O,12
and,O,12
I,O,12
think,O,12
you,O,12
have,O,12
never,O,12
seen,O,12
me,O,12
kick,O,12
or,O,12
bite,O,12
.,O,12
I,O,13
hope,O,13
you,O,13
will,O,13
grow,O,13
up,O,13
gentle,O,13
and,O,13
good,O,13
