token,label,sentence
PROLOGUE,O,0
I,O,0
A,O,0
FACE,O,0
haunted,O,0
Cameron,O,0
--,O,0
a,O,0
woman,O,0
's,O,0
face,O,0
.,O,0
It,O,1
was,O,1
there,O,1
in,O,1
the,O,1
white,O,1
heart,O,1
of,O,1
the,O,1
dying,EVENT,1
campfire,EVENT,1
;,O,1
it,O,1
hung,O,1
in,O,1
the,O,1
shadows,O,1
that,O,1
hovered,EVENT,1
over,O,1
the,O,1
flickering,EVENT,1
light,O,1
;,O,1
it,O,1
drifted,EVENT,1
in,O,1
the,O,1
darkness,O,1
beyond,O,1
.,O,1
This,O,2
hour,O,2
",",O,2
when,O,2
the,O,2
day,O,2
had,O,2
closed,O,2
and,O,2
the,O,2
lonely,O,2
desert,O,2
night,O,2
set,O,2
in,O,2
with,O,2
its,O,2
dead,O,2
silence,O,2
",",O,2
was,O,2
one,O,2
in,O,2
which,O,2
Cameron,O,2
's,O,2
mind,O,2
was,O,2
thronged,O,2
with,O,2
memories,O,2
of,O,2
a,O,2
time,O,2
long,O,2
past,O,2
--,O,2
of,O,2
a,O,2
home,O,2
back,O,2
in,O,2
Peoria,O,2
",",O,2
of,O,2
a,O,2
woman,O,2
he,O,2
had,O,2
wronged,O,2
and,O,2
lost,O,2
",",O,2
and,O,2
loved,O,2
too,O,2
late,O,2
.,O,2
He,O,3
was,O,3
a,O,3
prospector,O,3
for,O,3
gold,O,3
",",O,3
a,O,3
hunter,O,3
of,O,3
solitude,O,3
",",O,3
a,O,3
lover,O,3
of,O,3
the,O,3
drear,O,3
",",O,3
rock-ribbed,O,3
infinitude,O,3
",",O,3
because,O,3
he,O,3
wanted,O,3
to,O,3
be,O,3
alone,O,3
to,O,3
remember,O,3
.,O,3
A,O,4
sound,EVENT,4
disturbed,EVENT,4
Cameron,O,4
's,O,4
reflections,EVENT,4
.,O,4
He,O,5
bent,EVENT,5
his,O,5
head,O,5
listening,EVENT,5
.,O,5
A,O,6
soft,O,6
wind,EVENT,6
fanned,EVENT,6
the,O,6
paling,EVENT,6
embers,O,6
",",O,6
blew,EVENT,6
sparks,EVENT,6
and,O,6
white,O,6
ashes,O,6
and,O,6
thin,O,6
smoke,EVENT,6
away,O,6
into,O,6
the,O,6
enshrouding,O,6
circle,O,6
of,O,6
blackness,O,6
.,O,6
His,O,7
burro,O,7
did,O,7
not,O,7
appear,O,7
to,O,7
be,O,7
moving,O,7
about,O,7
.,O,7
The,O,8
quiet,O,8
split,EVENT,8
to,O,8
the,O,8
cry,EVENT,8
of,O,8
a,O,8
coyote,O,8
.,O,8
It,O,9
rose,EVENT,9
strange,O,9
",",O,9
wild,O,9
",",O,9
mournful,O,9
--,O,9
not,O,9
the,O,9
howl,O,9
of,O,9
a,O,9
prowling,O,9
upland,O,9
beast,O,9
baying,O,9
the,O,9
campfire,O,9
or,O,9
barking,O,9
at,O,9
a,O,9
lonely,O,9
prospector,O,9
",",O,9
but,O,9
the,O,9
wail,O,9
of,O,9
a,O,9
wolf,O,9
",",O,9
full-voiced,O,9
",",O,9
crying,O,9
out,O,9
the,O,9
meaning,O,9
of,O,9
the,O,9
desert,O,9
and,O,9
the,O,9
night,O,9
.,O,9
Hunger,O,10
throbbed,O,10
in,O,10
it,O,10
--,O,10
hunger,O,10
for,O,10
a,O,10
mate,O,10
",",O,10
for,O,10
offspring,O,10
",",O,10
for,O,10
life,O,10
.,O,10
When,O,11
it,O,11
ceased,EVENT,11
",",O,11
the,O,11
terrible,O,11
desert,O,11
silence,O,11
smote,O,11
Cameron,O,11
",",O,11
and,O,11
the,O,11
cry,EVENT,11
echoed,EVENT,11
in,O,11
his,O,11
soul,O,11
.,O,11
He,O,12
and,O,12
that,O,12
wandering,O,12
wolf,O,12
were,O,12
brothers,O,12
.,O,12
Then,O,13
a,O,13
sharp,O,13
clink,EVENT,13
of,O,13
metal,O,13
on,O,13
stone,O,13
and,O,13
soft,O,13
pads,EVENT,13
of,O,13
hoofs,O,13
in,O,13
sand,O,13
prompted,O,13
Cameron,O,13
to,O,13
reach,EVENT,13
for,O,13
his,O,13
gun,O,13
",",O,13
and,O,13
to,O,13
move,EVENT,13
out,O,13
of,O,13
the,O,13
light,O,13
of,O,13
the,O,13
waning,EVENT,13
campfire,EVENT,13
.,O,13
He,O,14
was,O,14
somewhere,O,14
along,O,14
the,O,14
wild,O,14
border,O,14
line,O,14
between,O,14
Sonora,O,14
and,O,14
Arizona,O,14
;,O,14
and,O,14
the,O,14
prospector,O,14
who,O,14
dared,O,14
the,O,14
heat,O,14
and,O,14
barrenness,O,14
of,O,14
that,O,14
region,O,14
risked,O,14
other,O,14
dangers,O,14
sometimes,O,14
as,O,14
menacing,O,14
.,O,14
Figures,O,15
darker,O,15
than,O,15
the,O,15
gloom,O,15
approached,EVENT,15
and,O,15
took,EVENT,15
shape,O,15
",",O,15
and,O,15
in,O,15
the,O,15
light,O,15
turned,O,15
out,O,15
to,O,15
be,O,15
those,O,15
of,O,15
a,O,15
white,O,15
man,O,15
and,O,15
a,O,15
heavily,O,15
packed,O,15
burro,O,15
.,O,15
the,O,16
man,O,16
called,EVENT,16
",",O,16
as,O,16
he,O,16
came,O,16
to,O,16
a,O,16
halt,EVENT,16
and,O,16
gazed,EVENT,16
about,O,16
him,O,16
.,O,16
Cameron,O,17
came,EVENT,17
forth,O,17
out,O,17
of,O,17
the,O,17
shadow,O,17
and,O,17
greeted,EVENT,17
his,O,17
visitor,O,17
",",O,17
whom,O,17
he,O,17
took,EVENT,17
for,O,17
a,O,17
prospector,O,17
like,O,17
himself,O,17
.,O,17
Cameron,O,18
resented,EVENT,18
the,O,18
breaking,EVENT,18
of,O,18
his,O,18
lonely,O,18
campfire,O,18
vigil,EVENT,18
",",O,18
but,O,18
he,O,18
respected,O,18
the,O,18
law,O,18
of,O,18
the,O,18
desert,O,18
.,O,18
The,O,19
stranger,O,19
thanked,EVENT,19
him,O,19
",",O,19
and,O,19
then,O,19
slipped,EVENT,19
the,O,19
pack,O,19
from,O,19
his,O,19
burro,O,19
.,O,19
Then,O,20
he,O,20
rolled,EVENT,20
out,O,20
his,O,20
pack,O,20
and,O,20
began,O,20
preparations,EVENT,20
for,O,20
a,O,20
meal,O,20
.,O,20
His,O,21
movements,EVENT,21
were,O,21
slow,O,21
and,O,21
methodical,O,21
.,O,21
Cameron,O,22
watched,EVENT,22
him,O,22
",",O,22
still,O,22
with,O,22
resentment,O,22
",",O,22
yet,O,22
with,O,22
a,O,22
curious,O,22
and,O,22
growing,O,22
interest,EVENT,22
.,O,22
The,O,23
campfire,EVENT,23
burst,O,23
into,O,23
a,O,23
bright,O,23
blaze,EVENT,23
",",O,23
and,O,23
by,O,23
its,O,23
light,O,23
Cameron,O,23
saw,EVENT,23
a,O,23
man,O,23
whose,O,23
gray,O,23
hair,O,23
somehow,O,23
did,O,23
not,O,23
seem,O,23
to,O,23
make,O,23
him,O,23
old,O,23
",",O,23
and,O,23
whose,O,23
stooped,O,23
shoulders,O,23
did,O,23
not,O,23
detract,O,23
from,O,23
an,O,23
impression,O,23
of,O,23
rugged,O,23
strength,O,23
.,O,23
asked,EVENT,24
Cameron,O,24
",",O,24
presently,O,24
.,O,24
His,O,25
visitor,O,25
looked,EVENT,25
up,O,25
quickly,O,25
",",O,25
as,O,25
if,O,25
startled,O,25
by,O,25
the,O,25
sound,O,25
of,O,25
a,O,25
human,O,25
voice,O,25
.,O,25
He,O,26
replied,EVENT,26
",",O,26
and,O,26
then,O,26
the,O,26
two,O,26
men,O,26
talked,EVENT,26
a,O,26
little,O,26
.,O,26
But,O,27
the,O,27
stranger,O,27
evidently,O,27
preferred,O,27
silence,O,27
.,O,27
Cameron,O,28
understood,EVENT,28
that,O,28
.,O,28
He,O,29
laughed,EVENT,29
grimly,O,29
and,O,29
bent,O,29
a,O,29
keener,O,29
gaze,EVENT,29
upon,O,29
the,O,29
furrowed,O,29
",",O,29
shadowy,O,29
face,O,29
.,O,29
Another,O,30
of,O,30
those,O,30
strange,O,30
desert,O,30
prospectors,O,30
in,O,30
whom,O,30
there,O,30
was,O,30
some,O,30
relentless,O,30
driving,O,30
power,O,30
besides,O,30
the,O,30
lust,O,30
for,O,30
gold,O,30
!,O,30
Cameron,O,30
felt,O,30
that,O,30
between,O,30
this,O,30
man,O,30
and,O,30
himself,O,30
there,O,30
was,O,30
a,O,30
subtle,O,30
affinity,O,30
",",O,30
vague,O,30
and,O,30
undefined,O,30
",",O,30
perhaps,O,30
born,O,30
of,O,30
the,O,30
divination,O,30
that,O,30
here,O,30
was,O,30
a,O,30
desert,O,30
wanderer,O,30
like,O,30
himself,O,30
",",O,30
perhaps,O,30
born,O,30
of,O,30
a,O,30
deeper,O,30
",",O,30
an,O,30
unintelligible,O,30
relation,O,30
having,O,30
its,O,30
roots,O,30
back,O,30
in,O,30
the,O,30
past,O,30
.,O,30
A,O,31
long-forgotten,O,31
sensation,EVENT,31
stirred,O,31
in,O,31
Cameron,O,31
's,O,31
breast,O,31
",",O,31
one,O,31
so,O,31
long,O,31
forgotten,O,31
that,O,31
he,O,31
could,O,31
not,O,31
recognize,O,31
it,O,31
.,O,31
But,O,32
it,O,32
was,O,32
akin,O,32
to,O,32
pain,O,32
.,O,32
II,O,33
When,O,33
he,O,33
awakened,EVENT,33
he,O,33
found,O,33
",",O,33
to,O,33
his,O,33
surprise,EVENT,33
",",O,33
that,O,33
his,O,33
companion,O,33
had,O,33
departed,EVENT,33
.,O,33
A,O,34
trail,O,34
in,O,34
the,O,34
sand,O,34
led,O,34
off,O,34
to,O,34
the,O,34
north,O,34
.,O,34
There,O,35
was,O,35
no,O,35
water,O,35
in,O,35
that,O,35
direction,O,35
.,O,35
Cameron,O,36
shrugged,EVENT,36
his,O,36
shoulders,O,36
;,O,36
it,O,36
was,O,36
not,O,36
his,O,36
affair,O,36
;,O,36
he,O,36
had,O,36
his,O,36
own,O,36
problems,O,36
.,O,36
And,O,37
straightway,O,37
he,O,37
forgot,EVENT,37
his,O,37
strange,O,37
visitor,O,37
.,O,37
Cameron,O,38
began,EVENT,38
his,O,38
day,O,38
",",O,38
grateful,EVENT,38
for,O,38
the,O,38
solitude,EVENT,38
that,O,38
was,O,38
now,O,38
unbroken,O,38
",",O,38
for,O,38
the,O,38
canyon-furrowed,O,38
and,O,38
cactus-spired,O,38
scene,O,38
that,O,38
now,O,38
showed,O,38
no,O,38
sign,O,38
of,O,38
life,O,38
.,O,38
He,O,39
traveled,EVENT,39
southwest,O,39
",",O,39
never,O,39
straying,O,39
far,O,39
from,O,39
the,O,39
dry,O,39
stream,O,39
bed,O,39
;,O,39
and,O,39
in,O,39
a,O,39
desultory,O,39
way,O,39
",",O,39
without,O,39
eagerness,O,39
",",O,39
he,O,39
hunted,EVENT,39
for,O,39
signs,O,39
of,O,39
gold,O,39
.,O,39
The,O,40
work,EVENT,40
was,O,40
toilsome,O,40
",",O,40
yet,O,40
the,O,40
periods,O,40
of,O,40
rest,O,40
in,O,40
which,O,40
he,O,40
indulged,EVENT,40
were,O,40
not,O,40
taken,O,40
because,O,40
of,O,40
fatigue,O,40
.,O,40
He,O,41
rested,O,41
to,O,41
look,O,41
",",O,41
to,O,41
listen,O,41
",",O,41
to,O,41
feel,O,41
.,O,41
What,O,42
the,O,42
vast,O,42
silent,O,42
world,O,42
meant,O,42
to,O,42
him,O,42
had,O,42
always,O,42
been,O,42
a,O,42
mystical,O,42
thing,O,42
",",O,42
which,O,42
he,O,42
felt,O,42
in,O,42
all,O,42
its,O,42
incalculable,O,42
power,O,42
",",O,42
but,O,42
never,O,42
understood,O,42
.,O,42
That,O,43
day,O,43
",",O,43
while,O,43
it,O,43
was,O,43
yet,O,43
light,O,43
",",O,43
and,O,43
he,O,43
was,O,43
digging,EVENT,43
in,O,43
a,O,43
moist,O,43
white-bordered,O,43
wash,O,43
for,O,43
water,O,43
",",O,43
he,O,43
was,O,43
brought,EVENT,43
sharply,O,43
up,O,43
by,O,43
hearing,EVENT,43
the,O,43
crack,EVENT,43
of,O,43
hard,O,43
hoofs,O,43
on,O,43
stone,O,43
.,O,43
There,O,44
down,O,44
the,O,44
canyon,O,44
came,EVENT,44
a,O,44
man,O,44
and,O,44
a,O,44
burro,O,44
.,O,44
Cameron,O,45
recognized,EVENT,45
them,O,45
.,O,45
called,EVENT,46
the,O,46
man,O,46
",",O,46
halting,EVENT,46
.,O,46
replied,EVENT,47
Cameron,O,47
",",O,47
slowly,O,47
.,O,47
They,O,48
made,EVENT,48
camp,O,48
together,O,48
",",O,48
ate,EVENT,48
their,O,48
frugal,O,48
meal,O,48
",",O,48
smoked,EVENT,48
a,O,48
pipe,O,48
",",O,48
and,O,48
rolled,EVENT,48
in,O,48
their,O,48
blankets,O,48
without,O,48
exchanging,O,48
many,O,48
words,O,48
.,O,48
In,O,49
the,O,49
morning,O,49
the,O,49
same,O,49
reticence,O,49
",",O,49
the,O,49
same,O,49
aloofness,O,49
characterized,O,49
the,O,49
manner,O,49
of,O,49
both,O,49
.,O,49
But,O,50
Cameron,O,50
's,O,50
companion,O,50
",",O,50
when,O,50
he,O,50
had,O,50
packed,EVENT,50
his,O,50
burro,O,50
and,O,50
was,O,50
ready,EVENT,50
to,O,50
start,O,50
",",O,50
faced,EVENT,50
about,O,50
and,O,50
said,EVENT,50
:,O,50
replied,EVENT,50
Cameron,O,50
.,O,50
said,EVENT,51
the,O,51
other,O,51
",",O,51
mildly,O,51
.,O,51
rejoined,EVENT,52
Cameron,O,52
",",O,52
with,O,52
a,O,52
chill,O,52
note,O,52
in,O,52
his,O,52
swift,O,52
reply,EVENT,52
.,O,52
His,O,53
companion,O,53
's,O,53
deep-set,O,53
",",O,53
luminous,O,53
eyes,O,53
emitted,O,53
a,O,53
singular,O,53
flash,EVENT,53
.,O,53
It,O,54
moved,O,54
Cameron,O,54
to,O,54
say,EVENT,54
that,O,54
in,O,54
the,O,54
years,O,54
of,O,54
his,O,54
wandering,O,54
he,O,54
had,O,54
met,O,54
no,O,54
man,O,54
who,O,54
could,O,54
endure,O,54
equally,O,54
with,O,54
him,O,54
the,O,54
blasting,O,54
heat,O,54
",",O,54
the,O,54
blinding,O,54
dust,O,54
storms,O,54
",",O,54
the,O,54
wilderness,O,54
of,O,54
sand,O,54
and,O,54
rock,O,54
and,O,54
lava,O,54
and,O,54
cactus,O,54
",",O,54
the,O,54
terrible,O,54
silence,O,54
and,O,54
desolation,O,54
of,O,54
the,O,54
desert,O,54
.,O,54
Cameron,O,55
waved,EVENT,55
a,O,55
hand,O,55
toward,O,55
the,O,55
wide,O,55
",",O,55
shimmering,O,55
",",O,55
shadowy,O,55
descent,O,55
of,O,55
plain,O,55
and,O,55
range,O,55
.,O,55
replied,EVENT,56
his,O,56
companion,O,56
.,O,56
For,O,57
moments,O,57
he,O,57
seemed,O,57
to,O,57
forget,O,57
himself,O,57
",",O,57
and,O,57
swept,O,57
his,O,57
far-reaching,O,57
gaze,EVENT,57
out,O,57
over,O,57
the,O,57
colored,O,57
gulf,O,57
of,O,57
stone,O,57
and,O,57
sand,O,57
.,O,57
Then,O,58
with,O,58
gentle,O,58
slaps,EVENT,58
he,O,58
drove,EVENT,58
his,O,58
burro,O,58
in,O,58
behind,O,58
Cameron,O,58
.,O,58
said,EVENT,59
Cameron,O,59
.,O,59
They,O,60
began,O,60
a,O,60
slow,O,60
march,EVENT,60
down,O,60
into,O,60
the,O,60
desert,O,60
.,O,60
At,O,61
sunset,EVENT,61
they,O,61
camped,EVENT,61
under,O,61
the,O,61
lee,O,61
of,O,61
a,O,61
low,O,61
mesa,O,61
.,O,61
Cameron,O,62
was,O,62
glad,O,62
his,O,62
comrade,O,62
had,O,62
the,O,62
Indian,O,62
habit,O,62
of,O,62
silence,O,62
.,O,62
Another,O,63
day,O,63
's,O,63
travel,EVENT,63
found,O,63
the,O,63
prospectors,O,63
deep,O,63
in,O,63
the,O,63
wilderness,O,63
.,O,63
Then,O,64
there,O,64
came,O,64
a,O,64
breaking,EVENT,64
of,O,64
reserve,EVENT,64
",",O,64
noticeable,O,64
in,O,64
the,O,64
elder,O,64
man,O,64
",",O,64
almost,O,64
imperceptibly,O,64
gradual,O,64
in,O,64
Cameron,O,64
.,O,64
Beside,O,65
the,O,65
meager,O,65
mesquite,O,65
campfire,EVENT,65
this,O,65
gray-faced,O,65
",",O,65
thoughtful,O,65
old,O,65
prospector,O,65
would,O,65
remove,O,65
his,O,65
black,O,65
pipe,O,65
from,O,65
his,O,65
mouth,O,65
to,O,65
talk,O,65
a,O,65
little,O,65
;,O,65
and,O,65
Cameron,O,65
would,O,65
listen,O,65
",",O,65
and,O,65
sometimes,O,65
unlock,O,65
his,O,65
lips,O,65
to,O,65
speak,O,65
a,O,65
word,O,65
.,O,65
And,O,66
so,O,66
",",O,66
as,O,66
Cameron,O,66
began,O,66
to,O,66
respond,EVENT,66
to,O,66
the,O,66
influence,O,66
of,O,66
a,O,66
desert,O,66
less,O,66
lonely,O,66
than,O,66
habitual,O,66
",",O,66
he,O,66
began,O,66
to,O,66
take,O,66
keener,O,66
note,EVENT,66
of,O,66
his,O,66
comrade,O,66
",",O,66
and,O,66
found,EVENT,66
him,O,66
different,O,66
from,O,66
any,O,66
other,O,66
he,O,66
had,O,66
ever,O,66
encountered,O,66
in,O,66
the,O,66
wilderness,O,66
.,O,66
This,O,67
man,O,67
never,O,67
grumbled,O,67
at,O,67
the,O,67
heat,O,67
",",O,67
the,O,67
glare,O,67
",",O,67
the,O,67
driving,O,67
sand,O,67
",",O,67
the,O,67
sour,O,67
water,O,67
",",O,67
the,O,67
scant,O,67
fare,O,67
.,O,67
During,O,68
the,O,68
daylight,O,68
hours,O,68
he,O,68
was,O,68
seldom,O,68
idle,O,68
.,O,68
At,O,69
night,O,69
he,O,69
sat,O,69
dreaming,O,69
before,O,69
the,O,69
fire,O,69
or,O,69
paced,O,69
to,O,69
and,O,69
fro,O,69
in,O,69
the,O,69
gloom,O,69
.,O,69
He,O,70
slept,O,70
but,O,70
little,O,70
",",O,70
and,O,70
that,O,70
long,O,70
after,O,70
Cameron,O,70
had,O,70
had,O,70
his,O,70
own,O,70
rest,O,70
.,O,70
He,O,71
was,O,71
tireless,O,71
",",O,71
patient,O,71
",",O,71
brooding,O,71
.,O,71
Cameron,O,72
's,O,72
awakened,O,72
interest,EVENT,72
brought,O,72
home,O,72
to,O,72
him,O,72
the,O,72
realization,EVENT,72
that,O,72
for,O,72
years,O,72
he,O,72
had,O,72
shunned,O,72
companionship,O,72
.,O,72
In,O,73
those,O,73
years,O,73
only,O,73
three,O,73
men,O,73
had,O,73
wandered,O,73
into,O,73
the,O,73
desert,O,73
with,O,73
him,O,73
",",O,73
and,O,73
these,O,73
had,O,73
left,O,73
their,O,73
bones,O,73
to,O,73
bleach,O,73
in,O,73
the,O,73
shifting,O,73
sands,O,73
.,O,73
Cameron,O,74
had,O,74
not,O,74
cared,O,74
to,O,74
know,O,74
their,O,74
secrets,O,74
.,O,74
But,O,75
the,O,75
more,O,75
he,O,75
studied,O,75
this,O,75
latest,O,75
comrade,O,75
the,O,75
more,O,75
he,O,75
began,O,75
to,O,75
suspect,O,75
that,O,75
he,O,75
might,O,75
have,O,75
missed,O,75
something,O,75
in,O,75
the,O,75
others,O,75
.,O,75
In,O,76
his,O,76
own,O,76
driving,O,76
passion,O,76
to,O,76
take,O,76
his,O,76
secret,O,76
into,O,76
the,O,76
limitless,O,76
abode,O,76
of,O,76
silence,O,76
and,O,76
desolation,O,76
