token,label,sentence
Chapter,O,0
1,O,0
It,O,0
is,O,0
a,O,0
truth,O,0
universally,O,0
acknowledged,O,0
",",O,0
that,O,0
a,O,0
single,O,0
man,O,0
in,O,0
possession,O,0
of,O,0
a,O,0
good,O,0
fortune,O,0
",",O,0
must,O,0
be,O,0
in,O,0
want,O,0
of,O,0
a,O,0
wife,O,0
.,O,0
However,O,1
little,O,1
known,O,1
the,O,1
feelings,O,1
or,O,1
views,O,1
of,O,1
such,O,1
a,O,1
man,O,1
may,O,1
be,O,1
on,O,1
his,O,1
first,O,1
entering,O,1
a,O,1
neighbourhood,O,1
",",O,1
this,O,1
truth,O,1
is,O,1
so,O,1
well,O,1
fixed,O,1
in,O,1
the,O,1
minds,O,1
of,O,1
the,O,1
surrounding,O,1
families,O,1
",",O,1
that,O,1
he,O,1
is,O,1
considered,O,1
the,O,1
rightful,O,1
property,O,1
of,O,1
some,O,1
one,O,1
or,O,1
other,O,1
of,O,1
their,O,1
daughters,O,1
.,O,1
“,O,2
My,O,2
dear,O,2
Mr.,O,2
Bennet,O,2
",",O,2
”,O,2
said,EVENT,2
his,O,2
lady,O,2
to,O,2
him,O,2
one,O,2
day,O,2
",",O,2
“,O,2
have,O,2
you,O,2
heard,O,2
that,O,2
Netherfield,O,2
Park,O,2
is,O,2
let,EVENT,2
at,O,2
last,O,2
?,O,2
”,O,2
Mr.,O,2
Bennet,O,2
replied,EVENT,2
that,O,2
he,O,2
had,O,2
not,O,2
.,O,2
“,O,3
But,O,3
it,O,3
is,O,3
",",O,3
”,O,3
returned,EVENT,3
she,O,3
;,O,3
“,O,3
for,O,3
Mrs.,O,3
Long,O,3
has,O,3
just,O,3
been,EVENT,3
here,O,3
",",O,3
and,O,3
she,O,3
told,EVENT,3
me,O,3
all,O,3
about,O,3
it,O,3
.,O,3
”,O,4
Mr.,O,4
Bennet,O,4
made,O,4
no,O,4
answer,O,4
.,O,4
“,O,5
Do,O,5
you,O,5
not,O,5
want,O,5
to,O,5
know,O,5
who,O,5
has,O,5
taken,O,5
it,O,5
?,O,5
”,O,5
cried,EVENT,5
his,O,5
wife,O,5
impatiently,O,5
.,O,5
“,O,6
_,O,6
You,O,6
_,O,6
want,O,6
to,O,6
tell,O,6
me,O,6
",",O,6
and,O,6
I,O,6
have,O,6
no,O,6
objection,O,6
to,O,6
hearing,O,6
it,O,6
.,O,6
”,O,7
This,O,7
was,O,7
invitation,EVENT,7
enough,O,7
.,O,7
“,O,8
Why,O,8
",",O,8
my,O,8
dear,O,8
",",O,8
you,O,8
must,O,8
know,O,8
",",O,8
Mrs.,O,8
Long,O,8
says,EVENT,8
that,O,8
Netherfield,O,8
is,O,8
taken,EVENT,8
by,O,8
a,O,8
young,O,8
man,O,8
of,O,8
large,O,8
fortune,O,8
from,O,8
the,O,8
north,O,8
of,O,8
England,O,8
;,O,8
that,O,8
he,O,8
came,EVENT,8
down,O,8
on,O,8
Monday,O,8
in,O,8
a,O,8
chaise,O,8
and,O,8
four,O,8
to,O,8
see,O,8
the,O,8
place,O,8
",",O,8
and,O,8
was,O,8
so,O,8
much,O,8
delighted,O,8
with,O,8
it,O,8
",",O,8
that,O,8
he,O,8
agreed,EVENT,8
with,O,8
Mr.,O,8
Morris,O,8
immediately,O,8
;,O,8
that,O,8
he,O,8
is,O,8
to,O,8
take,O,8
possession,O,8
before,O,8
Michaelmas,O,8
",",O,8
and,O,8
some,O,8
of,O,8
his,O,8
servants,O,8
are,O,8
to,O,8
be,O,8
in,O,8
the,O,8
house,O,8
by,O,8
the,O,8
end,O,8
of,O,8
next,O,8
week,O,8
.,O,8
”,O,9
“,O,9
What,O,9
is,O,9
his,O,9
name,O,9
?,O,9
”,O,9
“,O,9
Bingley,O,9
.,O,9
”,O,10
“,O,10
Is,O,10
he,O,10
married,O,10
or,O,10
single,O,10
?,O,10
”,O,10
“,O,10
Oh,O,10
!,O,10
Single,O,10
",",O,10
my,O,10
dear,O,10
",",O,10
to,O,10
be,O,10
sure,O,10
!,O,10
A,O,10
single,O,10
man,O,10
of,O,10
large,O,10
fortune,O,10
;,O,10
four,O,10
or,O,10
five,O,10
thousand,O,10
a,O,10
year,O,10
.,O,10
What,O,11
a,O,11
fine,O,11
thing,O,11
for,O,11
our,O,11
girls,O,11
!,O,11
”,O,11
“,O,11
How,O,11
so,O,11
?,O,11
How,O,11
can,O,11
it,O,11
affect,O,11
them,O,11
?,O,11
”,O,11
“,O,11
My,O,11
dear,O,11
Mr.,O,11
Bennet,O,11
",",O,11
”,O,11
replied,EVENT,11
his,O,11
wife,O,11
",",O,11
“,O,11
how,O,11
can,O,11
you,O,11
be,O,11
so,O,11
tiresome,O,11
!,O,11
You,O,11
must,O,11
know,O,11
that,O,11
I,O,11
am,O,11
thinking,O,11
of,O,11
his,O,11
marrying,O,11
one,O,11
of,O,11
them,O,11
.,O,11
”,O,12
“,O,12
Is,O,12
that,O,12
his,O,12
design,O,12
in,O,12
settling,O,12
here,O,12
?,O,12
”,O,12
“,O,12
Design,O,12
!,O,12
Nonsense,O,12
",",O,12
how,O,12
can,O,12
you,O,12
talk,O,12
so,O,12
!,O,12
But,O,12
it,O,12
is,O,12
very,O,12
likely,O,12
that,O,12
he,O,12
_,O,12
may,O,12
_,O,12
fall,O,12
in,O,12
love,O,12
with,O,12
one,O,12
of,O,12
them,O,12
",",O,12
and,O,12
therefore,O,12
you,O,12
must,O,12
visit,O,12
him,O,12
as,O,12
soon,O,12
as,O,12
he,O,12
comes,O,12
.,O,12
”,O,13
“,O,13
I,O,13
see,O,13
no,O,13
occasion,O,13
for,O,13
that,O,13
.,O,13
You,O,14
and,O,14
the,O,14
girls,O,14
may,O,14
go,O,14
",",O,14
or,O,14
you,O,14
may,O,14
send,O,14
them,O,14
by,O,14
themselves,O,14
",",O,14
which,O,14
perhaps,O,14
will,O,14
be,O,14
still,O,14
better,O,14
",",O,14
for,O,14
as,O,14
you,O,14
are,O,14
as,O,14
handsome,O,14
as,O,14
any,O,14
of,O,14
them,O,14
",",O,14
Mr.,O,14
Bingley,O,14
may,O,14
like,O,14
you,O,14
the,O,14
best,O,14
of,O,14
the,O,14
party,O,14
.,O,14
”,O,15
“,O,15
My,O,15
dear,O,15
",",O,15
you,O,15
flatter,EVENT,15
me,O,15
.,O,15
I,O,16
certainly,O,16
_,O,16
have,O,16
_,O,16
had,O,16
my,O,16
share,O,16
of,O,16
beauty,O,16
",",O,16
but,O,16
I,O,16
do,O,16
not,O,16
pretend,O,16
to,O,16
be,O,16
anything,O,16
extraordinary,O,16
now,O,16
.,O,16
When,O,17
a,O,17
woman,O,17
has,O,17
five,O,17
grown-up,O,17
daughters,O,17
",",O,17
she,O,17
ought,O,17
to,O,17
give,O,17
over,O,17
thinking,O,17
of,O,17
her,O,17
own,O,17
beauty,O,17
.,O,17
”,O,18
“,O,18
In,O,18
such,O,18
cases,O,18
",",O,18
a,O,18
woman,O,18
has,O,18
not,O,18
often,O,18
much,O,18
beauty,O,18
to,O,18
think,O,18
of,O,18
.,O,18
”,O,19
“,O,19
But,O,19
",",O,19
my,O,19
dear,O,19
",",O,19
you,O,19
must,O,19
indeed,O,19
go,O,19
and,O,19
see,O,19
Mr.,O,19
Bingley,O,19
when,O,19
he,O,19
comes,O,19
into,O,19
the,O,19
neighbourhood,O,19
.,O,19
”,O,20
“,O,20
It,O,20
is,O,20
more,O,20
than,O,20
I,O,20
engage,O,20
for,O,20
",",O,20
I,O,20
assure,O,20
you,O,20
.,O,20
”,O,21
“,O,21
But,O,21
consider,O,21
your,O,21
daughters,O,21
.,O,21
Only,O,22
think,O,22
what,O,22
an,O,22
establishment,O,22
it,O,22
would,O,22
be,O,22
for,O,22
one,O,22
of,O,22
them,O,22
.,O,22
Sir,O,23
William,O,23
and,O,23
Lady,O,23
Lucas,O,23
are,O,23
determined,O,23
to,O,23
go,O,23
",",O,23
merely,O,23
on,O,23
that,O,23
account,O,23
",",O,23
for,O,23
in,O,23
general,O,23
",",O,23
you,O,23
know,O,23
",",O,23
they,O,23
visit,O,23
no,O,23
newcomers,O,23
.,O,23
Indeed,O,24
you,O,24
must,O,24
go,O,24
",",O,24
for,O,24
it,O,24
will,O,24
be,O,24
impossible,O,24
for,O,24
_,O,24
us,O,24
_,O,24
to,O,24
visit,O,24
him,O,24
if,O,24
you,O,24
do,O,24
not,O,24
.,O,24
”,O,25
“,O,25
You,O,25
are,O,25
over-scrupulous,O,25
",",O,25
surely,O,25
.,O,25
I,O,26
dare,O,26
say,O,26
Mr.,O,26
Bingley,O,26
will,O,26
be,O,26
very,O,26
glad,O,26
to,O,26
see,O,26
you,O,26
;,O,26
and,O,26
I,O,26
will,O,26
send,O,26
a,O,26
few,O,26
lines,O,26
by,O,26
you,O,26
to,O,26
assure,O,26
him,O,26
of,O,26
my,O,26
hearty,O,26
consent,O,26
to,O,26
his,O,26
marrying,O,26
whichever,O,26
he,O,26
chooses,O,26
of,O,26
the,O,26
girls,O,26
;,O,26
though,O,26
I,O,26
must,O,26
throw,O,26
in,O,26
a,O,26
good,O,26
word,O,26
for,O,26
my,O,26
little,O,26
Lizzy,O,26
.,O,26
”,O,27
“,O,27
I,O,27
desire,O,27
you,O,27
will,O,27
do,O,27
no,O,27
such,O,27
thing,O,27
.,O,27
Lizzy,O,28
is,O,28
not,O,28
a,O,28
bit,O,28
better,O,28
than,O,28
the,O,28
others,O,28
;,O,28
and,O,28
I,O,28
am,O,28
sure,O,28
she,O,28
is,O,28
not,O,28
half,O,28
so,O,28
handsome,O,28
as,O,28
Jane,O,28
",",O,28
nor,O,28
half,O,28
so,O,28
good-humoured,O,28
as,O,28
Lydia,O,28
.,O,28
But,O,29
you,O,29
are,O,29
always,O,29
giving,O,29
_,O,29
her,O,29
_,O,29
the,O,29
preference,O,29
.,O,29
”,O,30
“,O,30
They,O,30
have,O,30
none,O,30
of,O,30
them,O,30
much,O,30
to,O,30
recommend,O,30
them,O,30
",",O,30
”,O,30
replied,EVENT,30
he,O,30
;,O,30
“,O,30
they,O,30
are,O,30
all,O,30
silly,O,30
and,O,30
ignorant,O,30
like,O,30
