token,label,sentence
CHAPTER,O,0
I,O,0
THERE,O,0
IS,O,0
NO,O,0
ONE,O,0
LEFT,O,0
When,O,0
Mary,O,0
Lennox,O,0
was,O,0
sent,EVENT,0
to,O,0
Misselthwaite,O,0
Manor,O,0
to,O,0
live,O,0
with,O,0
her,O,0
uncle,O,0
everybody,O,0
said,O,0
she,O,0
was,O,0
the,O,0
most,O,0
disagreeable-looking,O,0
child,O,0
ever,O,0
seen,O,0
.,O,0
It,O,1
was,O,1
true,O,1
",",O,1
too,O,1
.,O,1
She,O,2
had,O,2
a,O,2
little,O,2
thin,O,2
face,O,2
and,O,2
a,O,2
little,O,2
thin,O,2
body,O,2
",",O,2
thin,O,2
light,O,2
hair,O,2
and,O,2
a,O,2
sour,O,2
expression,O,2
.,O,2
Her,O,3
hair,O,3
was,O,3
yellow,O,3
",",O,3
and,O,3
her,O,3
face,O,3
was,O,3
yellow,O,3
because,O,3
she,O,3
had,O,3
been,O,3
born,EVENT,3
in,O,3
India,O,3
and,O,3
had,O,3
always,O,3
been,O,3
ill,O,3
in,O,3
one,O,3
way,O,3
or,O,3
another,O,3
.,O,3
Her,O,4
father,O,4
had,O,4
held,O,4
a,O,4
position,O,4
under,O,4
the,O,4
English,O,4
Government,O,4
and,O,4
had,O,4
always,O,4
been,O,4
busy,O,4
and,O,4
ill,O,4
himself,O,4
",",O,4
and,O,4
her,O,4
mother,O,4
had,O,4
been,O,4
a,O,4
great,O,4
beauty,O,4
who,O,4
cared,O,4
only,O,4
to,O,4
go,O,4
to,O,4
parties,O,4
and,O,4
amuse,O,4
herself,O,4
with,O,4
gay,O,4
people,O,4
.,O,4
She,O,5
had,O,5
not,O,5
wanted,O,5
a,O,5
little,O,5
girl,O,5
at,O,5
all,O,5
",",O,5
and,O,5
when,O,5
Mary,O,5
was,O,5
born,EVENT,5
she,O,5
handed,EVENT,5
her,O,5
over,O,5
to,O,5
the,O,5
care,O,5
of,O,5
an,O,5
Ayah,O,5
",",O,5
who,O,5
was,O,5
made,O,5
to,O,5
understand,O,5
that,O,5
if,O,5
she,O,5
wished,O,5
to,O,5
please,O,5
the,O,5
Mem,O,5
Sahib,O,5
she,O,5
must,O,5
keep,O,5
the,O,5
child,O,5
out,O,5
of,O,5
sight,O,5
as,O,5
much,O,5
as,O,5
possible,O,5
.,O,5
So,O,6
when,O,6
she,O,6
was,O,6
a,O,6
sickly,O,6
",",O,6
fretful,O,6
",",O,6
ugly,O,6
little,O,6
baby,O,6
she,O,6
was,O,6
kept,O,6
out,O,6
of,O,6
the,O,6
way,O,6
",",O,6
and,O,6
when,O,6
she,O,6
became,O,6
a,O,6
sickly,O,6
",",O,6
fretful,O,6
",",O,6
toddling,O,6
thing,O,6
she,O,6
was,O,6
kept,O,6
out,O,6
of,O,6
the,O,6
way,O,6
also,O,6
.,O,6
She,O,7
never,O,7
remembered,O,7
seeing,O,7
familiarly,O,7
anything,O,7
but,O,7
the,O,7
dark,O,7
faces,O,7
of,O,7
her,O,7
Ayah,O,7
and,O,7
the,O,7
other,O,7
native,O,7
servants,O,7
",",O,7
and,O,7
as,O,7
they,O,7
always,O,7
obeyed,O,7
her,O,7
and,O,7
gave,O,7
her,O,7
her,O,7
own,O,7
way,O,7
in,O,7
everything,O,7
",",O,7
because,O,7
the,O,7
Mem,O,7
Sahib,O,7
would,O,7
be,O,7
angry,O,7
if,O,7
she,O,7
was,O,7
disturbed,O,7
by,O,7
her,O,7
crying,O,7
",",O,7
by,O,7
the,O,7
time,O,7
she,O,7
was,O,7
six,O,7
years,O,7
old,O,7
she,O,7
was,O,7
as,O,7
tyrannical,O,7
and,O,7
selfish,O,7
a,O,7
little,O,7
pig,O,7
as,O,7
ever,O,7
lived,O,7
.,O,7
The,O,8
young,O,8
English,O,8
governess,O,8
who,O,8
came,O,8
to,O,8
teach,O,8
her,O,8
to,O,8
read,O,8
and,O,8
write,O,8
disliked,O,8
her,O,8
