token,label,sentence
PART,O,0
I,O,0
.,O,0
The,O,1
Wild,O,1
Land,O,1
I,O,1
One,O,1
January,O,1
day,O,1
",",O,1
thirty,O,1
years,O,1
ago,O,1
",",O,1
the,O,1
little,O,1
town,O,1
of,O,1
Hanover,O,1
",",O,1
anchored,O,1
on,O,1
a,O,1
windy,O,1
Nebraska,O,1
tableland,O,1
",",O,1
was,O,1
trying,O,1
not,O,1
to,O,1
be,O,1
blown,O,1
away,O,1
.,O,1
A,O,2
mist,EVENT,2
of,O,2
fine,O,2
snowflakes,O,2
was,O,2
curling,O,2
and,O,2
eddying,O,2
about,O,2
the,O,2
cluster,O,2
of,O,2
low,O,2
drab,O,2
buildings,O,2
huddled,O,2
on,O,2
the,O,2
gray,O,2
prairie,O,2
",",O,2
under,O,2
a,O,2
gray,O,2
sky,O,2
.,O,2
The,O,3
dwelling-houses,O,3
were,O,3
set,O,3
about,O,3
haphazard,O,3
on,O,3
the,O,3
tough,O,3
prairie,O,3
sod,O,3
;,O,3
some,O,3
of,O,3
them,O,3
looked,O,3
as,O,3
if,O,3
they,O,3
had,O,3
been,O,3
moved,O,3
in,O,3
overnight,O,3
",",O,3
and,O,3
others,O,3
as,O,3
if,O,3
they,O,3
were,O,3
straying,O,3
off,O,3
by,O,3
themselves,O,3
",",O,3
headed,O,3
straight,O,3
for,O,3
the,O,3
open,O,3
plain,O,3
.,O,3
None,O,4
of,O,4
them,O,4
had,O,4
any,O,4
appearance,O,4
of,O,4
permanence,O,4
",",O,4
and,O,4
the,O,4
howling,O,4
wind,EVENT,4
blew,O,4
under,O,4
them,O,4
as,O,4
well,O,4
as,O,4
over,O,4
them,O,4
.,O,4
The,O,5
main,O,5
street,O,5
was,O,5
a,O,5
deeply,O,5
rutted,O,5
road,O,5
",",O,5
now,O,5
frozen,O,5
hard,O,5
",",O,5
which,O,5
ran,O,5
from,O,5
the,O,5
squat,O,5
red,O,5
railway,O,5
station,O,5
and,O,5
the,O,5
grain,O,5
“,O,5
elevator,O,5
”,O,5
at,O,5
the,O,5
north,O,5
end,O,5
of,O,5
the,O,5
town,O,5
to,O,5
the,O,5
lumber,O,5
yard,O,5
and,O,5
the,O,5
horse,O,5
pond,O,5
at,O,5
the,O,5
south,O,5
end,O,5
.,O,5
On,O,6
either,O,6
side,O,6
of,O,6
this,O,6
road,O,6
straggled,O,6
two,O,6
uneven,O,6
rows,O,6
of,O,6
wooden,O,6
buildings,O,6
;,O,6
the,O,6
general,O,6
merchandise,O,6
stores,O,6
",",O,6
the,O,6
two,O,6
banks,O,6
",",O,6
the,O,6
drug,O,6
store,O,6
",",O,6
the,O,6
feed,O,6
store,O,6
",",O,6
the,O,6
saloon,O,6
",",O,6
the,O,6
post-office,O,6
.,O,6
The,O,7
board,O,7
sidewalks,O,7
were,O,7
gray,O,7
with,O,7
trampled,O,7
snow,O,7
",",O,7
but,O,7
at,O,7
two,O,7
o'clock,O,7
in,O,7
the,O,7
afternoon,O,7
the,O,7
shopkeepers,O,7
",",O,7
having,O,7
come,EVENT,7
back,O,7
from,O,7
dinner,EVENT,7
",",O,7
were,O,7
keeping,O,7
well,O,7
behind,O,7
their,O,7
frosty,O,7
windows,O,7
.,O,7
The,O,8
children,O,8
were,O,8
all,O,8
in,O,8
school,O,8
",",O,8
and,O,8
there,O,8
was,O,8
nobody,O,8
abroad,O,8
in,O,8
the,O,8
streets,O,8
but,O,8
a,O,8
few,O,8
rough-looking,O,8
countrymen,O,8
in,O,8
coarse,O,8
overcoats,O,8
",",O,8
with,O,8
their,O,8
long,O,8
caps,O,8
pulled,EVENT,8
down,O,8
to,O,8
their,O,8
noses,O,8
.,O,8
Some,O,9
of,O,9
them,O,9
had,O,9
brought,EVENT,9
their,O,9
wives,O,9
to,O,9
town,O,9
",",O,9
and,O,9
now,O,9
and,O,9
then,O,9
a,O,9
red,O,9
or,O,9
a,O,9
plaid,O,9
shawl,O,9
flashed,EVENT,9
out,O,9
of,O,9
one,O,9
store,O,9
into,O,9
the,O,9
shelter,O,9
of,O,9
another,O,9
.,O,9
At,O,10
the,O,10
hitch-bars,O,10
along,O,10
the,O,10
street,O,10
a,O,10
few,O,10
heavy,O,10
work-horses,O,10
",",O,10
harnessed,O,10
to,O,10
farm,O,10
wagons,O,10
",",O,10
shivered,EVENT,10
under,O,10
their,O,10
blankets,O,10
.,O,10
About,O,11
the,O,11
station,O,11
everything,O,11
was,O,11
quiet,O,11
",",O,11
for,O,11
there,O,11
would,O,11
not,O,11
be,O,11
another,O,11
train,O,11
in,O,11
until,O,11
night,O,11
.,O,11
On,O,12
the,O,12
sidewalk,O,12
in,O,12
front,O,12
of,O,12
one,O,12
of,O,12
the,O,12
stores,O,12
sat,O,12
a,O,12
little,O,12
Swede,O,12
boy,O,12
",",O,12
crying,EVENT,12
bitterly,O,12
.,O,12
He,O,13
was,O,13
about,O,13
five,O,13
years,O,13
old,O,13
.,O,13
His,O,14
black,O,14
cloth,O,14
coat,O,14
was,O,14
much,O,14
too,O,14
big,O,14
for,O,14
him,O,14
and,O,14
made,O,14
him,O,14
look,O,14
like,O,14
a,O,14
little,O,14
old,O,14
man,O,14
.,O,14
His,O,15
shrunken,O,15
brown,O,15
flannel,O,15
dress,O,15
had,O,15
been,O,15
