token,label,sentence
_,O,0
One,O,0
_,O,0
DREAMS,O,0
Night,O,0
fell,O,0
.,O,0
The,O,1
red,O,1
waters,O,1
of,O,1
the,O,1
swamp,O,1
grew,O,1
sinister,EVENT,1
and,O,1
sullen,EVENT,1
.,O,1
The,O,2
tall,O,2
pines,O,2
lost,EVENT,2
their,O,2
slimness,O,2
and,O,2
stood,O,2
in,O,2
wide,O,2
blurred,O,2
blotches,O,2
all,O,2
across,O,2
the,O,2
way,O,2
",",O,2
and,O,2
a,O,2
great,O,2
shadowy,O,2
bird,O,2
arose,EVENT,2
",",O,2
wheeled,EVENT,2
and,O,2
melted,EVENT,2
",",O,2
murmuring,EVENT,2
",",O,2
into,O,2
the,O,2
black-green,O,2
sky,O,2
.,O,2
The,O,3
boy,O,3
wearily,O,3
dropped,EVENT,3
his,O,3
heavy,O,3
bundle,O,3
and,O,3
stood,O,3
still,O,3
",",O,3
listening,EVENT,3
as,O,3
the,O,3
voice,EVENT,3
of,O,3
crickets,O,3
split,EVENT,3
the,O,3
shadows,O,3
and,O,3
made,O,3
the,O,3
silence,O,3
audible,O,3
.,O,3
A,O,4
tear,EVENT,4
wandered,EVENT,4
down,O,4
his,O,4
brown,O,4
cheek,O,4
.,O,4
They,O,5
were,O,5
at,O,5
supper,EVENT,5
now,O,5
",",O,5
he,O,5
whispered,EVENT,5
--,O,5
the,O,5
father,O,5
and,O,5
old,O,5
mother,O,5
",",O,5
away,O,5
back,O,5
yonder,O,5
beyond,O,5
the,O,5
night,O,5
.,O,5
They,O,6
were,O,6
far,O,6
away,O,6
;,O,6
they,O,6
would,O,6
never,O,6
be,O,6
as,O,6
near,O,6
as,O,6
once,O,6
they,O,6
had,O,6
been,O,6
",",O,6
for,O,6
he,O,6
had,O,6
stepped,EVENT,6
into,O,6
the,O,6
world,O,6
.,O,6
And,O,7
the,O,7
cat,O,7
and,O,7
Old,O,7
Billy,O,7
--,O,7
ah,O,7
",",O,7
but,O,7
the,O,7
world,O,7
was,O,7
a,O,7
lonely,O,7
thing,O,7
",",O,7
so,O,7
wide,O,7
and,O,7
tall,O,7
and,O,7
empty,O,7
!,O,7
And,O,7
so,O,7
bare,O,7
",",O,7
