token,label,sentence
CHAPTER,O,0
I,O,0
At,O,0
sunset,O,0
hour,O,0
the,O,0
forest,O,0
was,O,0
still,O,0
",",O,0
lonely,O,0
",",O,0
sweet,O,0
with,O,0
tang,O,0
of,O,0
fir,O,0
and,O,0
spruce,O,0
",",O,0
blazing,O,0
in,O,0
gold,O,0
and,O,0
red,O,0
and,O,0
green,O,0
;,O,0
and,O,0
the,O,0
man,O,0
who,O,0
glided,EVENT,0
on,O,0
under,O,0
the,O,0
great,O,0
trees,O,0
seemed,O,0
to,O,0
blend,O,0
with,O,0
the,O,0
colors,O,0
and,O,0
",",O,0
disappearing,EVENT,0
",",O,0
to,O,0
have,O,0
become,O,0
a,O,0
part,O,0
of,O,0
the,O,0
wild,O,0
woodland,O,0
.,O,0
Old,O,1
Baldy,O,1
",",O,1
highest,O,1
of,O,1
the,O,1
White,O,1
Mountains,O,1
",",O,1
stood,O,1
up,O,1
round,O,1
and,O,1
bare,O,1
",",O,1
rimmed,O,1
bright,O,1
gold,O,1
in,O,1
the,O,1
last,O,1
glow,EVENT,1
of,O,1
the,O,1
setting,EVENT,1
sun,O,1
.,O,1
Then,O,2
",",O,2
as,O,2
the,O,2
fire,EVENT,2
dropped,EVENT,2
behind,O,2
the,O,2
domed,O,2
peak,O,2
",",O,2
a,O,2
change,EVENT,2
",",O,2
a,O,2
cold,O,2
and,O,2
darkening,O,2
blight,EVENT,2
",",O,2
passed,EVENT,2
down,O,2
the,O,2
black,O,2
spear-pointed,O,2
slopes,O,2
over,O,2
all,O,2
that,O,2
mountain,O,2
world,O,2
.,O,2
It,O,3
was,O,3
a,O,3
wild,O,3
",",O,3
richly,O,3
timbered,O,3
",",O,3
and,O,3
abundantly,O,3
watered,O,3
region,O,3
of,O,3
dark,O,3
forests,O,3
and,O,3
grassy,O,3
parks,O,3
",",O,3
ten,O,3
thousand,O,3
feet,O,3
above,O,3
sea-level,O,3
",",O,3
isolated,O,3
on,O,3
all,O,3
sides,O,3
by,O,3
the,O,3
southern,O,3
Arizona,O,3
desert,O,3
--,O,3
the,O,3
virgin,O,3
home,O,3
of,O,3
elk,O,3
and,O,3
deer,O,3
",",O,3
of,O,3
bear,O,3
and,O,3
lion,O,3
",",O,3
of,O,3
wolf,O,3
and,O,3
fox,O,3
",",O,3
and,O,3
the,O,3
birthplace,O,3
as,O,3
well,O,3
as,O,3
the,O,3
hiding-place,O,3
of,O,3
the,O,3
fierce,O,3
Apache,O,3
.,O,3
September,O,4
in,O,4
that,O,4
latitude,O,4
was,O,4
marked,O,4
by,O,4
the,O,4
sudden,O,4
cool,O,4
night,O,4
breeze,O,4
following,O,4
shortly,O,4
after,O,4
sundown,O,4
.,O,4
Twilight,O,5
appeared,O,5
to,O,5
come,O,5
on,O,5
its,O,5
wings,O,5
",",O,5
as,O,5
did,O,5
faint,O,5
sounds,O,5
",",O,5
not,O,5
distinguishable,O,5
before,O,5
in,O,5
the,O,5
stillness,O,5
.,O,5
Milt,O,6
Dale,O,6
",",O,6
man,O,6
of,O,6
the,O,6
forest,O,6
",",O,6
halted,EVENT,6
at,O,6
the,O,6
edge,O,6
of,O,6
a,O,6
timbered,O,6
ridge,O,6
",",O,6
to,O,6
listen,O,6
and,O,6
to,O,6
watch,O,6
.,O,6
Beneath,O,7
him,O,7
lay,O,7
a,O,7
narrow,O,7
valley,O,7
",",O,7
open,O,7
and,O,7
grassy,O,7
",",O,7
from,O,7
which,O,7
rose,O,7
a,O,7
faint,O,7
murmur,EVENT,7
of,O,7
running,EVENT,7
water,O,7
.,O,7
Its,O,8
music,EVENT,8
was,O,8
pierced,EVENT,8
by,O,8
the,O,8
wild,O,8
staccato,O,8
yelp,EVENT,8
of,O,8
a,O,8
hunting,EVENT,8
coyote,O,8
.,O,8
From,O,9
overhead,O,9
in,O,9
the,O,9
giant,O,9
fir,O,9
came,O,9
a,O,9
twittering,EVENT,9
and,O,9
rustling,EVENT,9
